trade_date,open,close,high,low,volume,amount,pct_chg,ts_code,stock_name,fwd_return_1d,fwd_return_3d,fwd_return_5d
2023-11-17,1626.58,1628.0,1633.58,1612.48,21714.0,3793781119.0,-0.41,600519.SH,贵州茅台,0.00557739557739545,0.017254299754299707,0.014484029484029382
2023-11-20,1629.58,1637.08,1644.08,1611.24,18608.0,3265514010.0,0.56,600519.SH,贵州茅台,0.0167982016761552,0.014354826886896266,0.000305421848657339
2023-11-21,1658.0,1664.58,1672.58,1644.68,30098.0,5383107810.0,1.68,600519.SH,贵州茅台,-0.005100385682874964,-0.00780977784185799,-0.012591764889641865
2023-11-22,1657.88,1656.09,1668.93,1655.12,12665.0,2263460167.0,-0.51,600519.SH,贵州茅台,0.002711205308890241,-0.011176928790102014,-0.004106057037962851
2023-11-23,1652.88,1660.58,1662.58,1645.58,11550.0,2055272193.0,0.27,600519.SH,贵州茅台,-0.005419793084344038,-0.01021329896783052,0.0033120957737657886
2023-11-24,1663.58,1651.58,1663.58,1649.58,13085.0,2329345658.0,-0.54,600519.SH,贵州茅台,-0.008476731372382806,-0.0013865510601969167,-0.010123639181874311
2023-11-27,1647.88,1637.58,1647.88,1629.58,16261.0,2865075217.0,-0.85,600519.SH,贵州茅台,0.003688369423173299,0.017403729894112097,-0.007504976856092527
2023-11-28,1635.58,1643.62,1648.46,1632.58,14520.0,2562905659.0,0.37,600519.SH,贵州茅台,0.0034497024859760916,-0.005329699078862493,-0.03652912473686132
2023-11-29,1642.58,1649.29,1650.58,1632.58,17149.0,3034175614.0,0.34,600519.SH,贵州茅台,0.010180138120039484,-0.01455171619302853,-0.04347931534175309
2023-11-30,1651.3,1666.08,1669.34,1645.66,21353.0,3817513545.0,1.02,600519.SH,贵州茅台,-0.018738595985786977,-0.04951743013540766,-0.05491933160472484
2023-12-01,1663.89,1634.86,1664.28,1622.58,33051.0,5830850111.0,-1.87,600519.SH,贵州茅台,-0.005853712244473508,-0.03503663922293043,-0.033862226735010936
2023-12-04,1634.86,1625.29,1636.41,1619.86,18440.0,3233102118.0,-0.59,600519.SH,贵州茅台,-0.025663112429166524,-0.031200585741621545,-0.032431135366611574
2023-12-05,1623.36,1583.58,1623.46,1582.6,29903.0,5168983317.0,-2.57,600519.SH,贵州茅台,-0.0037888834160573204,-0.00257644072291896,0.0006251657636493491
2023-12-06,1577.21,1577.58,1594.05,1575.71,23851.0,4078003022.0,-0.38,600519.SH,贵州茅台,-0.0019016468261514596,-0.0031694113769190624,-0.02725693784150407
2023-12-07,1578.58,1574.58,1583.66,1561.88,25042.0,4249170906.0,-0.19,600519.SH,贵州茅台,0.0031246427618794037,0.006344549022596402,-0.040709268503346885
2023-12-08,1574.58,1579.5,1583.42,1566.8,26288.0,4474160126.0,0.31,600519.SH,贵州茅台,-0.004381133270022208,-0.028439379550490695,-0.037936055713833516
2023-12-11,1564.58,1572.58,1578.58,1531.58,36831.0,6172810248.0,-0.44,600519.SH,贵州茅台,0.007624413384374806,-0.03948924696994738,-0.022892317084027503
2023-12-12,1562.18,1584.57,1584.57,1558.58,21011.0,3564305866.0,0.76,600519.SH,贵州茅台,-0.03154799093760452,-0.04101428147699382,-0.02208170039821533
2023-12-13,1579.8,1534.58,1580.3,1531.66,38789.0,6480807500.0,-3.15,600519.SH,贵州茅台,-0.01570462276323159,0.0013032881961188014,0.005793116031748147
2023-12-14,1540.54,1510.48,1544.45,1509.6,40672.0,6703240107.0,-1.57,600519.SH,贵州茅台,0.006024574969546004,0.025885811132884795,0.03522059212965423
2023-12-15,1522.81,1519.58,1552.35,1518.59,37093.0,6140791726.0,0.6,600519.SH,贵州茅台,0.011187301754432166,0.01572144934784614,0.029448926677108078
2023-12-18,1514.58,1536.58,1537.91,1509.58,19897.0,3292194757.0,1.12,600519.SH,贵州茅台,0.00846034700438647,0.017636569524528634,0.018938161371357287
2023-12-19,1539.58,1549.58,1554.45,1519.67,22207.0,3706057587.0,0.85,600519.SH,贵州茅台,-0.003943003910736986,0.00951870829515089,0.00909923979400884
2023-12-20,1551.68,1543.47,1553.68,1536.68,23092.0,3816133219.0,-0.39,600519.SH,贵州茅台,0.013093872896784431,0.014389654479840974,0.011189073969691599
2023-12-21,1533.69,1563.68,1566.0,1533.69,29012.0,4827827888.0,1.31,600519.SH,贵州茅台,0.0004156860738768753,0.0,0.03516704184999497
2023-12-22,1563.38,1564.33,1572.78,1551.69,21667.0,3613238325.0,0.04,600519.SH,贵州茅台,0.000862989266970704,-0.0022949121988327104,0.035382559945791536
2023-12-25,1564.68,1565.68,1572.28,1561.68,12471.0,2086014390.0,0.09,600519.SH,贵州茅台,-0.001277400235041637,0.033844719227428266,
2023-12-26,1566.18,1563.68,1568.58,1551.18,14771.0,2457177339.0,-0.13,600519.SH,贵州茅台,-0.0018801800879976183,0.03581295405709617,
2023-12-27,1561.68,1560.74,1570.83,1554.68,16056.0,2679221365.0,-0.19,600519.SH,贵州茅台,0.037117008598485324,,
2023-12-28,1564.67,1618.67,1621.67,1560.74,38338.0,6537401380.0,3.71,600519.SH,贵州茅台,0.0006239690610192472,,
2023-12-29,1613.68,1619.68,1643.26,1613.68,27539.0,4768857531.0,0.06,600519.SH,贵州茅台,,,
